,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc
country,ae,af,ag,al,am,ao,ar,au,az,ba,bb,bd,bf,bi,bj,bn,bo,br,bt,bw,by,bz,ca,cd,cf,cg,ci,cl,cm,cn,co,cr,cv,dj,dm,do,dz,eg,er,fj,ga,gd,ge,gh,gm,gq,gt,gw,gy,hn,ht,id,il,in,iq,is,jm,jp,ke,kg,kh,km,kn,kr,kw,kz,lc,ls,ma,md,mg,mk,ml,mm,mn,mu,mv,mx,my,mz,ne,ng,ni,no,np,om,pa,pg,ph,pk,py,qa,ro,rs,ru,sa,sb,sc,sd,sl,sn,sr,ss,st,sy,sz,td,tg,th,tj,to,tr,tt,tz,ua,ug,uy,vc,ve,vu,ws,za,zm
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16760000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16940000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15780000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15540000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15710000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17240000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19300000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20700000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
