mnemonic,description
AAP_IX,"Agricultural Production, Index"
PZPI_IX,"All Commodities (Fuel and Non Fuel), Price, Index"
PCPI_A1_IX,"All items, Capital City, Index"
IADD_BP6_USD,"Assets, Direct investment, Debt instruments, US Dollars"
IADE_BP6_USD,"Assets, Direct investment, Equity and investment fund shares , US Dollars"
IAD_BP6_USD,"Assets, Direct investment, US Dollars"
IADF_BP6_USD,"Assets, Financial derivatives (other than reserves) and employee stock options , US Dollars"
IAOE_BP6_USD,"Assets, Other investment, Other equity , US Dollars"
IAP_BP6_USD,"Assets, Portfolio investment , US Dollars"
IAPD_BP6_USD,"Assets, Portfolio investment, Debt securities , US Dollars"
IAPE_BP6_USD,"Assets, Portfolio investment, Equity and investment fund shares , US Dollars"
FMA_XDC,"Base Money, National Currency"
FMA_SA_XDC,"Base Money, Seasonally adjusted, National Currency"
FMA_SA_USD,"Base Money, Seasonally adjusted, US dollar"
FMA_USD,"Base Money, US Dollars"
FM5B_A1_SA_XDC,"Broad Money, Alternate Definition 1, Seasonally Adjusted, National Currency"
FMBCC_EUR,"Broad Money, Currency Issued by Central Government, Euros"
FMBCC_XDC,"Broad Money, Currency Issued by Central Government, National Currency"
FMBCC_USD,"Broad Money, Currency Issued by Central Government, US Dollars"
FMBDN_EUR,"Broad Money, Deposits in Non-financial Corporations (Including Electronic Money), Euros"
FMBDN_XDC,"Broad Money, Deposits in Non-financial Corporations (Including Electronic Money), National Currency"
FMBDN_USD,"Broad Money, Deposits in Non-financial Corporations (Including Electronic Money), US Dollars"
FMB_EUR,"Broad Money, Euros"
FMB_XDC,"Broad Money, National Currency"
FMBSC_EUR,"Broad Money, Securities Issued by Central Government, Euros"
FMBSC_XDC,"Broad Money, Securities Issued by Central Government, National Currency"
FMBSC_USD,"Broad Money, Securities Issued by Central Government, US Dollars"
FMB_USD,"Broad Money, US Dollars"
GBAAFCD_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Currency and Deposits, Cash, US Dollars"
GBADAFXD_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Assets, Domestic, Cash, National Currency"
GBADAFXD_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Assets, Domestic, Euros"
GBAAF_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Financial Assets, Cash, US Dollars"
GBAAFFD_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Financial Derivatives, Cash, US Dollars"
GBADAFXF_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Assets, Foreign, Cash, National Currency"
GBADAFXF_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Assets, Foreign, Euros"
GBAAFIR_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Insurance Technical Reserves, Cash, US Dollars"
GBAAFLS_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Loans, Cash, US Dollars"
GBAAFM_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Monetary Gold and SDRs, Cash, US Dollars"
GBADAFX_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Assets, Net Acquisition of Financial Assets Other than Cash, Cash, National Currency"
GBADAFX_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Net Acquisition of Financial Assets Other than Cash, Cash, US Dollars"
GBADAFX_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Assets, Net Acquisition of Financial Assets Other than Cash, Euros"
GBADANP_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Assets, Non-financial Assets, Purchases of Non-financial Assets, Noncash, Euros"
GBADANP_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Assets, Non-financial Assets, Purchases of Non-financial Assets, Noncash, National Currency"
GBADANP_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Non-financial Assets, Purchases of Non-financial Assets, Noncash, US Dollars"
GBADANS_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Assets, Non-financial Assets, Sales of Non-financial Assets, Noncash, Euros"
GBADANS_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Assets, Non-financial Assets, Sales of Non-financial Assets, Noncash, National Currency"
GBADANS_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Non-financial Assets, Sales of Non-financial Assets, Noncash, US Dollars"
GBAAFO_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Other Accounts Receivable, Cash, US Dollars"
GBAAFSO_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Securities Other than Shares, Cash, US Dollars"
GBAAFAE_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Assets, Shares and Other Equity, Cash, US Dollars"
GBALFV_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Debt (at Face Value), Cash, US Dollars"
GBALFV_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Debt (at Face Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALM_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Debt (at Market Value), Noncash, Euros"
GBALM_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Debt (at Market Value), Noncash, National Currency"
GBALM_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Debt (at Market Value), Noncash, US Dollars"
GBAAF_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAF_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAF_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAF_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAF_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAF_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAFCD_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFCD_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFCD_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFCD_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAFCD_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFCD_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
